Ident,Site,Year,Month,Replicate,Survey,Acropora spp.,Alcyoniidae,Alveopora spp.,Astreopora spp.,Caulastrea spp.,Coscinarea spp.,Cyphastrea spp.,Dendronephthya spp.,Diploastrea spp.,Echinophyllia spp.,Echinopora spp.,Euphyllia spp.,Favia spp.,Faviidae,Favites spp.,Fungia spp.,Fungiidae,Galaxea spp.,Gardineroseris spp.,Goniastrea spp.,Goniopora spp.,Hard coral,Hydnophora spp.,Isopora spp.,Leptastrea spp.,Leptoria spp.,Leptoseris spp.,Lithophyllon spp.,Lobophyllia spp.,Lobophytum spp.,Merulina spp.,Millepora spp.,Montastrea spp.,Montipora spp.,Mycedium spp.,Octocorals - Soft,Oulophyllia spp.,Oxypora spp.,Pachyseris spp.,Pavona spp.,Pectinia spp.,Platygyra spp.,Plerogyra spp.,Plesiastrea spp.,Pocillopora spp.,Podabacia spp.,Porites spp.,Psammocora spp.,Sarcophyton spp.,Scolymia spp.,Seriatopora spp.,Sinularia spp.,Stylophora spp.,Symphyllia spp.,Tubipora spp.,Turbinaria spp.,allcoral,totalpoints,av.wave,max.wave,dredge days,dredge.pres,bleach.ind,bleach.pres,DHW,dhw.fact,Depth
11_2010_4_T3,11,2010,4,T3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103,0,0,0,0,14,0,0,0,0,151,306,0.730429387,0.877547051,0,0,0,0,2.29,1,9
11_2010_4_T4,11,2010,4,T4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,4,1,0,1,0,0,0,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,20,0,7,0,0,31,0,0,0,1,90,312,0.730429387,0.877547051,0,0,0,0,2.29,1,9
12_2010_4_T1,12,2010,4,T1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,3,0,0,0,0,0,2,0,0,14,1,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,62,0,1,0,0,6,0,0,0,1,121,306,0.730429387,0.877547051,0,0,0,0,2.29,1,9
12_2010_4_T2,12,2010,4,T2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,4,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1,9,0,2,0,0,125,306,0.730429387,0.877547051,0,0,0,0,2.29,1,9
12_2010_4_T3,12,2010,4,T3,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,3,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,87,0,0,0,0,7,0,0,0,3,123,300,0.730429387,0.877547051,0,0,0,0,2.29,1,9
12_2010_4_T4,12,2010,4,T4,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,5,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0,12,1,0,1,0,0,0,4,78,0,1,0,1,9,0,0,0,1,138,306,0.730429387,0.877547051,0,0,0,0,2.29,1,9
16_2010_4_T1,16,2010,4,T1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,25,1,2,0,1,0,2,0,0,2,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,103,306,0.24,0.36,0,0,0,0,0,0,8
16_2010_4_T2,16,2010,4,T2,2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,3,28,0,0,0,3,1,0,0,0,3,67,306,0.24,0.36,0,0,0,0,0,0,8
16_2010_4_T3,16,2010,4,T3,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,4,0,0,0,0,61,0,0,0,0,0,0,0,0,0,131,306,0.24,0.36,0,0,0,0,0,0,8
16_2010_4_T4,16,2010,4,T4,2,7,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,45,0,0,0,0,0,0,0,0,0,65,306,0.24,0.36,0,0,0,0,0,0,8
