"","X","sediment","Location","Status","Site","Distance","depth","X4mm","X2mm","X1mm","X500um","X250um","X125um","X63um","fetch","org","snapper","lobster","InPreds","BioTurb","Taxa","Abundance"
"88",89,1.76634675159096,"Tawharanui","No-take","Comet Rocks East",2,10,0.02577,0.14764,0.27863,0.85935,51.62622,45.75875,1.28493,167069.126,0.89349,13.25,4.4,0.333333333,0.166666667,"BDS",0
"89",90,4.26560226112301,"Tawharanui","No-take","Comet Rocks East",5,10,0.484,0.1518,0.26047,0.57701,17.05321,77.95432,3.48185,167069.126,2.53218,13.25,4.4,2.666666667,0.166666667,"BDS",1
"90",91,4.44916079552009,"Tawharanui","No-take","Comet Rocks East",15,10,0.29139,0.26949,0.35137,0.69191,13.91155,81.14862,3.29827,167069.126,1.9994,13.25,4.4,2.5,0,"BDS",1
"91",92,1.51204481202269,"Tawharanui","No-take","Comet Rocks East",30,10,0.13563,0.07506,0.10935,0.67739,56.4404,40.8114,1.7303,167069.126,1.35509,13.25,4.4,1.666666667,0,"BDS",8
"92",93,2.66281813929873,"Tawharanui","No-take","Comet Rocks West",2,9,0.12925,0.25934,0.4553,0.92908,37.45427,58.79215,1.96145,1764328.193,0.89349,13.5,1,0.333333333,0,"BDS",2
"93",94,2.97744565376185,"Tawharanui","No-take","Comet Rocks West",5,9,0.09885,0.16337,0.33261,1.02094,32.97139,62.97884,2.3959,1764328.193,2.53218,13.5,1,0.666666667,0,"BDS",10
"94",95,3.93757042934683,"Tawharanui","No-take","Comet Rocks West",15,9,0.31471,0.2989,0.38652,0.68277,20.48376,74.76174,3.02879,1764328.193,1.9994,13.5,1,1.666666667,0.666666667,"BDS",14
"95",96,2.7924345819529,"Tawharanui","No-take","Comet Rocks West",30,9,0.38099,0.25801,0.2917,0.49269,38.05801,58.04893,2.44488,1764328.193,1.35509,13.5,1,1.666666667,0.666666667,"BDS",20
"96",1,-3.26250047120576,"Hahei","Fished","Cooks Beach Inner",2,12,3.16462,1.41119,3.88962,8.69694,70.31984,6.19663,6.25038,2232582.478,3.45785,0,0,0,0.166666667,"BMS",6
"97",2,-3.48382799871854,"Hahei","Fished","Cooks Beach Inner",5,12,1.69129,1.62811,4.86726,9.92831,69.18594,5.70317,6.92941,2232582.478,3.19104,0,0,0,0.166666667,"BMS",4
"98",3,-4.68556023608562,"Hahei","Fished","Cooks Beach Inner",15,12,1.67228,1.01193,3.9718,21.37884,64.74207,2.75041,4.42267,2232582.478,2.80046,0,0,0,0.833333333,"BMS",2
"99",4,-3.24865363208507,"Hahei","Fished","Cooks Beach Inner",30,12,0.7967,0.77126,1.82919,7.81927,78.20548,5.26789,5.27693,2232582.478,2.78881,0,0,0.333333333,0.333333333,"BMS",6
"100",5,-3.43280045392667,"Hahei","Fished","Cooks Beach Outer",2,9,0.03768,0.25556,2.09768,15.76419,67.41767,7.21756,7.08857,1027166.867,2.4751,0,0.2,0,0.333333333,"BMS",2
"101",6,-3.61029674834709,"Hahei","Fished","Cooks Beach Outer",5,9,0.23887,0.57024,3.42348,18.22572,62.7775,7.48086,7.17101,1027166.867,2.52552,0,0.2,1,0.166666667,"BMS",4
"102",8,-4.68083976068393,"Hahei","Fished","Cooks Beach Outer",30,9,0.05118,0.41971,2.96787,19.90608,70.82593,2.31633,3.47006,1027166.867,2.30917,0,0.2,0,0.333333333,"BMS",3
"103",9,-2.52024747566287,"Hahei","Fished","Darens Glove",2,10,0.28782,0.61595,4.71152,28.53734,41.755,21.44334,2.59654,2924764.739,0.89349,0,0,0.333333333,0.166666667,"BMS",0
"104",10,-3.76275946979601,"Hahei","Fished","Darens Glove",5,10,0.02412,0.36928,3.84234,35.47341,47.43604,11.88242,0.94092,2924764.739,2.53218,0,0,0.166666667,0,"BMS",0
"105",11,-2.73005031072124,"Hahei","Fished","Darens Glove",15,12,0.1138,0.29654,4.30909,28.38553,45.81894,19.27934,1.69096,2924764.739,1.9994,0,0,0.333333333,0.166666667,"BMS",0
"106",12,-2.5951236391731,"Hahei","Fished","Darens Glove",30,12,0.02907,0.40319,4.49215,28.0394,44.06893,20.4063,2.38205,2924764.739,1.35509,0,0,0.166666667,0.166666667,"BMS",0
"107",13,0.902300815961495,"Hahei","Fished","Hahei Beach",2,10,0,0.10243,0.35882,2.13453,57.49768,38.02565,1.79672,1586607.555,0.89349,0,0,1,0.666666667,"BMS",2
"108",14,1.18945310431574,"Hahei","Fished","Hahei Beach",5,10,0,0.08951,0.4494,1.83101,54.66213,41.28873,1.60292,1586607.555,2.53218,0,0,0.5,1.166666667,"BMS",1
"109",15,0.607427342493815,"Hahei","Fished","Hahei Beach",15,11,0.08406,0.16368,0.62516,2.39488,58.95227,35.41736,2.16995,1586607.555,1.9994,0,0,0.166666667,1.333333333,"BMS",0
"110",16,2.43397161322605,"Hahei","Fished","Hahei Beach",30,11,0.02435,0.1215,0.36851,1.15492,40.06436,55.9278,2.21731,1586607.555,1.35509,0,0,0.5,1,"BMS",1
